67539;67170;Wingersheim;;67
72022;72200;Bailleul;Le;72
86141;86160;Magné;;86
88509;88150;Villoncourt;;88
55482;55220;Senoncourt-les-Maujouy;;55
19139;19290;Millevaches;;19
80100;80610;Bettencourt-Saint-Ouen;;80
28240;28240;Meaucé;;28
40057;40320;Buanes;;40
9229;9600;Peyrat;Le;9
52175;52300;Donjeux;;52
32132;32500;Fleurance;;32
14626;14100;Saint-Martin-de-Mailloc;;14
61417;61570;Saint-Loyer-des-Champs;;61
72036;72610;Béthon;;72
11246;11240;Montgradail;;11
25477;25320;Rancenay;;25
2242;2310;Crouttes-sur-Marne;;2
54186;54690;Eulmont;;54
19230;19210;Saint-Pardoux-Corbier;;19
9179;9120;Malléon;;9
11293;11250;Pomas;;11
8329;8270;Novion-Porcien;;8
28202;28340;Lamblore;;28
59566;59320;Sequedin;;59
42017;42660;Bessat;Le;42
18138;18500;Marmagne;;18
71401;71470;Sainte-Croix;;71
30007;30100;Alès;;30
80127;80220;Bouvaincourt-sur-Bresle;;80
57201;57412;Etting;;57
64360;64660;Lurbe-Saint-Christau;;64
6142;6440;Touët-de-l'Escarène;;6
24140;24520;Cours-de-Pile;;24
9028;9310;Aulos;;9
73179;73290;Motte-Servolex;La;73
35058;35630;Chapelle-Chaussée;La;35
39414;39350;Petit-Mercey;Le;39
8353;8600;Rancennes;;8
38426;38530;Saint-Maximin;;38
27278;27780;Garennes-sur-Eure;;27
49202;49490;Méon;;49
66032;66400;Calmeilles;;66
80267;80200;Ennemain;;80
2B273;20213;Scata;;2B
2463;2140;Marfontaine;;2
21518;21500;Quincy-le-Vicomte;;21
69118;69700;Loire-sur-Rhône;;69
87075;87170;Isle;;87
36245;36250;Villers-les-Ormes;;36
81179;81470;Montgey;;81
25373;25210;Mémont;Le;25
24087;24220;Castels;;24
51347;51160;Mareuil-sur-Ay;;51
57075;57580;Beux;;57
8153;8110;Escombres-et-le-Chesnois;;8
9133;9400;Génat;;9
42014;42670;Belleroche;;42
7114;7570;Labatie-d'Andaure;;7
9272;9000;Saint-Paul-de-Jarrat;;9
36141;36230;Neuvy-Saint-Sépulchre;;36
38136;38300;Crachier;;38
62702;62380;Remilly-Wirquin;;62
26292;26170;Saint-Auban-sur-l'Ouvèze;;26
48051;48160;Collet-de-Dèze;Le;48
22165;22510;Penguily;;22
77042;77169;Boissy-le-Châtel;;77
17356;17380;Saint-Loup;;17
2610;2200;Pommiers;;2
19052;19290;Chavanac;;19
21413;21140;Millery;;21
33089;33390;Campugnan;;33
46149;46090;Lamagdelaine;;46
60132;60640;Catigny;;60
60221;60120;Esquennoy;;60
47218;47800;Puysserampion;;47
38550;38114;Villard-Reculas;;38
66107;66460;Maury;;66
50134;50420;Chevry;;50
58064;58350;Châteauneuf-Val-de-Bargis;;58
80479;80290;Lignières-Châtelain;;80
80615;80300;Ovillers-la-Boisselle;;80
72194;72170;Meurcé;;72
15229;15100;Soulages;;15
10302;10210;Praslin;;10
70554;70500;Villars-le-Pautel;;70
10445;10500;Yèvres-le-Petit;;10
18223;18110;Saint-Martin-d'Auxigny;;18
18131;18350;Lugny-Bourbonnais;;18
28362;28240;Saint-Victor-de-Buthon;;28
32278;32300;Montaut;;32
78677;78930;Villette;;78
22362;22220;Tréguier;;22
27062;27520;Berville-en-Roumois;;27
67129;67330;Ernolsheim-lès-Saverne;;67
61296;61290;Moulicent;;61
51477;51110;Saint-Étienne-sur-Suippe;;51
61096;61140;Chapelle-d'Andaine;La;61
1285;1600;Parcieux;;1
55024;55150;Azannes-et-Soumazannes;;55
14352;14380;Landelles-et-Coupigny;;14
51241;51230;Euvy;;51
34158;34210;Minerve;;34
35136;35150;Janzé;;35
43144;43150;Moudeyres;;43
44050;44160;Crossac;;44
66049;66400;Céret;;66
5069;5300;Lagrand;;5
39417;39150;Piards;Les;39
38405;38134;Saint-Joseph-de-Rivière;;38
86049;86200;Chalais;;86
62474;62360;Isques;;62
1374;1160;Saint-Martin-du-Mont;;1
5153;5260;Saint-Michel-de-Chaillol;;5
31115;31230;Castelgaillard;;31
86106;86200;Glénouze;;86
32108;32400;Corneillan;;32
82190;82600;Verdun-sur-Garonne;;82
8406;8400;Savigny-sur-Aisne;;8
21248;21500;Éringes;;21
80435;80240;Hesbécourt;;80
24252;24200;Marcillac-Saint-Quentin;;24
25491;25640;Rignosot;;25
56045;56230;Cours;Le;56
72223;72430;Noyen-sur-Sarthe;;72
74308;74500;Vinzier;;74
21367;21130;Magny-Montarlot;;21
62805;62550;Tangry;;62
39461;39250;Rix;;39
60500;60330;Plessis-Belleville;Le;60
14347;14260;Jurques;;14
71375;71220;Rousset;Le;71
10274;10170;Orvilliers-Saint-Julien;;10
62073;62580;Bailleul-Sir-Berthoult;;62
41245;41500;Séris;;41
55221;55000;Guerpont;;55
1263;1090;Montmerle-sur-Saône;;1
13078;13230;Port-Saint-Louis-du-Rhône;;13
60238;60700;Fleurines;;60
13003;13980;Alleins;;13
24047;24640;Boissière-d'Ans;La;24
19165;19260;Peyrissac;;19
9101;9120;Coussa;;9
10116;10320;Crésantignes;;10
2502;2340;Montcornet;;2
9123;9350;Fornex;;9
9130;9000;Ganac;;9
8170;8200;Fleigneux;;8
